Id;Created;Changed;IsTerm;NodeId;Status;UserId;CountryId;Title;Name
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3976;Chūbu (Japanese region);Chūbu
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3976;Tōhoku (Japanese region);Tōhoku
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3976;Kantō (Japanese region);Kantō
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3976;Shikoku (Japanese region);Shikoku
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3976;Kyushu (Japanese region);Kyushu
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3976;Chūgoku (Japanese region);Chūgoku
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3976;Hokkaido (Japanese region);Hokkaido
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3976;Kansai (Japanese region);Kansai
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3972;Central Thailand;Central Thailand
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3972;Northeastern Thailand;Northeastern Thailand
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3972;Northern Thailand;Northern Thailand
0;12/20/2022 17:48;12/20/2022 17:48;TRUE;18;1;1;3972;Southern Thailand;Southern Thailand
