id;country_from;1932;1933;1934;1935;1936;1937;1938;1939;1940;1941;1942;1943;1944;1945;1946;1947;1948;1949;1950;1951;1952;1953;1954;1955;1956;1957;1958;1959;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2015;2016;2017;2018;2019;2020;2021
3950;Afghanistan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;;;;;;;;;1;;1;2;;2;1;;1;;;;;;;;;;;;;;;;;
3997;Albania;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;
3829;Algeria;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;1;;;1;;;;1;;;;;;;1;;;1;1;;;;;1;2;2;;;;;;;
4055;American Samoa;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3998;Andorra;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3852;Angola;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;;;;1;1;;;;;;;;;;;;;;
3886;Anguilla;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3921;Argentina;;;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;2;2;2;3;1;1;3;3;2;1;2;2;1;;1;2;1;1;1;1;;;1;;;;;;;;;;;;;;
3936;Armenia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;
3891;Aruba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4038;Australia;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;1;1;1;2;;3;1;2;1;;1;1;1;;1;;;1;;;1;;;;;;;;;;1;;;;;;;;;;;;;;
4016;Austria;1;1;2;1;1;1;;1;1;1;2;5;4;8;9;10;4;2;6;5;1;2;3;4;1;2;2;1;5;3;5;3;2;1;1;4;4;3;6;6;5;4;4;3;;3;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;
4025;Azerbaijan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3892;Bahamas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3937;Bahrain;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3957;Bangladesh;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;3;4;25;24;32;13;26;12;13;6;8;2;4;4;;1;1;5;;;5;4;1;;;1;;;;;;;;;;;
3893;Barbados;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4028;Belarus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;1;4;8;8;5;4;1;1;2;;;;;;;;;
4017;Belgium;;;;1;;;;1;2;;;;;;;;;;1;;;;1;;;;;;;1;;;1;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3894;Belize;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3836;Benin;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3888;Bermuda;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3958;Bhutan;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;
3922;Bolivia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;2;2;3;3;2;6;7;18;15;6;5;6;7;14;12;16;23;20;22;9;9;9;23;23;33;26;22;12;8;6;8;1;1;1;;;;;;;
3999;Bosnia and Herzegovina Federation;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;1;;;;;1;;;1;1;;;;;;;;;;1;1;;;;1;;;;;;;;;;
3880;Botswana;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;1;;1;;;1;;2;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;
3923;Brazil;;;;;;;;;;;;;;;;;;;;;;3;;3;2;1;;2;1;;2;1;4;1;4;5;4;6;21;16;25;7;3;8;6;11;5;14;16;14;20;15;31;38;35;44;49;57;56;58;55;44;38;21;21;19;8;9;;;;;;;
3895;British Virgin Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3964;Brunei;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4015;Bulgaria;;;;;;;;;;;;;;;;;;1;;;;1;;1;;;;;;;;;;;;;1;1;2;;;;3;1;2;3;;;1;;;;;5;1;;3;8;2;9;14;18;20;24;22;24;2;;5;5;2;;;;
3837;Burkina Faso;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;1;;;1;1;;;;;;;;;;;;;;
3861;Burundi;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3965;Cambodia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;
3853;Cameroon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3885;Canada;;;;1;;;;;;1;;;;1;;;1;;;;;;;;;1;2;;1;;;1;1;;2;;1;1;6;2;;2;1;2;;1;1;2;2;;;;;;;;;;;;;;;;;;;;;;;;;;
3838;Cape Verde;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;1;;2;1;;;1;;1;1;;2;2;4;3;3;;1;;;;;;;;;;
3896;Cayman Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3854;Central African Republic;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3855;Chad;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;
3924;Chile;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;;1;2;3;3;1;2;2;3;8;6;12;27;41;59;92;162;217;200;204;198;165;139;123;105;87;89;71;87;48;32;21;11;;3;;;3;;;;;;;;;;
3975;China;;;;;;;;;;;;;;;;1;;;;;;1;1;;;;;;1;;;;1;;;1;1;2;1;;1;;;2;;1;1;2;3;3;1;2;;5;4;2;2;2;5;19;46;70;54;93;103;115;57;3;43;17;12;10;3;;
3925;Colombia;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;1;2;;2;3;3;5;16;10;31;38;70;56;82;66;89;169;173;198;215;215;203;243;304;273;302;237;202;220;205;204;181;148;151;123;102;88;75;54;23;17;23;20;16;6;6
3863;Comoros;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
4056;Cook Islands;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3897;Costa Rica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;3;2;6;2;4;5;3;2;;2;1;;1;1;;1;;1;;;;;1;;;;;;;;;;;;
3839;Côte d’Ivoire;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;1;;1;;;;;;;;;;;;;;;;
4001;Croatia;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;2;1;;;;;;;1;;;;;1;1;;;;;;1;;1;;;;;;;1;;;;;;;;;;;;;
