id;country_from;1992;1993;1994;1995;1996;1997;1998;1999;2014;2015;2016;2017;2018;2019;2020;2021
3950;Afghanistan;5;3;6;8;2;2;7;6;1;1;2;3;9;9;;3
3997;Albania;;;;;;;;;;;;;;;;
3829;Algeria;;;;;;;;;;;;;;;;
4055;American Samoa;;;;;;;;;;;;;;;;
3998;Andorra;;;;;;;;;;;;;;;;
3852;Angola;;;;;;;;;;;;;;;;
3886;Anguilla;;;;;;;;;;;;;;;;
3921;Argentina;;;;;;;;;;;;;;;;
3936;Armenia;;;;1;;6;6;3;3;9;2;;;;;
3891;Aruba;;;;;;;;;;;;;;;;
4038;Australia;;;;;;;;;;;;;;;;
4016;Austria;6;14;14;21;13;10;7;3;;;;;;;;
4025;Azerbaijan;;;;;;;;;;;;;;;;
3892;Bahamas;;;;;;;;;;;;;;;;
3937;Bahrain;;;;;;;;;;;;;;;;
3957;Bangladesh;;;;;;;;;;;;;;;;
3893;Barbados;;;;;;;;;;;;;;;;
4028;Belarus;;;;;;;;;;;;;;;;
4017;Belgium;;;;;;;;;;;;;;;;
3894;Belize;;;;;;;;;;;;;;;;
3836;Benin;;;;;;;;;;;;;;;;
3888;Bermuda;;;;;;;;;;;;;;;;
3958;Bhutan;;;;;;;;;;;;;;;;
3922;Bolivia;18;25;27;24;32;20;18;16;;;;;;;;
3999;Bosnia and Herzegovina Federation;1;5;24;46;37;44;47;38;6;4;3;5;4;5;;
3880;Botswana;;;;;;;;;;;;;;;;
3923;Brazil;142;143;112;92;89;90;91;54;2;3;4;2;4;3;4;8
3895;British Virgin Islands;;;;;;;;;;;;;;;;
3964;Brunei;;;;;;;;;;;;;;;;
4015;Bulgaria;;;;;;;;;57;43;47;23;27;12;19;13
3837;Burkina Faso;;;;;;;;;;;;;;;;
3861;Burundi;;;;;;;;;;;;;;;;
3965;Cambodia;;;5;2;3;3;3;2;2;;1;1;;;;
3853;Cameroon;11;1;1;2;1;5;2;6;4;4;3;5;3;;;
3885;Canada;;;;;;;;;;;;;;;;
3838;Cape Verde;;;;;;;;;;;;;;;;
3896;Cayman Islands;;;;;;;;;;;;;;;;
3854;Central African Republic;;;;;;;;;;;;;;;;
3855;Chad;;;;;;;;;;;;;;;;
3924;Chile;27;17;8;11;11;9;10;10;6;1;;1;;;;
3975;China;;;;;;;;;;;;;;;;
3925;Colombia;29;28;29;24;32;34;33;36;18;21;9;18;6;6;9;
3863;Comoros;;;;;;;;;;;;;;;;
4056;Cook Islands;;;;;;;;;;;;;;;;
3897;Costa Rica;;;;;;;;;;;;;;;;
3839;Côte d’Ivoire;;;;;;;;;;;;;;;;
4001;Croatia;1;9;26;31;26;33;39;29;2;;3;1;;;3;
3898;Cuba;;;;;;;;;;;;;;;;
4002;Cyprus;;;;;;;;;;;;;;;;
4029;Czech Republic;;;;;;;;;;;;;;;;
3977;Democratic Peoples Republic of Korea (North Korea);;;;;;;;;;;;;;;;
3857;Democratic Republic of The Congo;;;;;;;;;;;;;;;;
3983;Denmark;;;;;;;;;;;;;;;;
3864;Djibouti;;;;;;;;;;;;;;;;
3899;Dominica;;;;;;;;;;;;;;;;
3900;Dominican Republic;;;;;;;;;;;;;;;;
3926;Ecuador;;;;;;;;;;;;;;;;
3830;Egypt;;;;;;;;;;;;;;;;
3901;El Salvador;;;;;;;;;;;;;;;;
11570;England;;;;;;;;;;;;;;;;
3858;Equatorial Guinea;;;;;;;;;;;;;;;;
3865;Eritrea;;;;;;;;;;;;;;;;
3984;Estonia;;;;;;;;;;;;;;;;
3866;Ethiopia;27;22;27;19;27;25;24;20;15;3;1;3;;;;
3993;Faeroe Islands;;;;;;;;;;;;;;;;
3933;Falkland Islands;;;;;;;;;;;;;;;;
4051;Federal States of Micronesia;;;;;;;;;;;;;;;;
4043;Fiji;;;;;;;;;;;;;;;;
3985;Finland;;;;;;;;;;;;;;;;
4018;France;;;;;;;;;;;;;;;;
3935;French Guiana;;;;;;;;;;;;;;;;
4057;French Polynesia;;;;;;;;;;;;;;;;
3859;Gabon;;;;;;;;;;;;;;;;
4026;Georgia (country);;;;;;;;;;;;;;;;
4019;Germany;;;;;;;;;;;;;;;;
3841;Ghana;;;;;;;;;;;;;;;;
4013;Gibraltar;;;;;;;;;;;;;;;;
4003;Greece;11;14;15;11;9;7;8;8;1;2;1;1;;;;
3889;Greenland;;;;;;;;;;;;;;;;
3902;Grenada;;;;;;;;;;;;;;;;
3903;Guadeloupe;;;;;;;;;;;;;;;;
4048;Guam;;;;;;;;;;;;;;;;
3904;Guatemala;8;6;3;5;7;5;7;7;1;;;;;;;
3994;Guernsey;;;;;;;;;;;;;;;;
3842;Guinea;;;;;;;;;;;;;;;;
3843;Guinea Bissau;;;;;;;;;;;;;;;;
3927;Guyana;;;;;;;;;;;;;;;;
3905;Haiti;;;;;;;;;;;;;;;;
